Time,WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,0.000000E+00,0.000000E+00,3.351885E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.074225E+00,5.960604E+04,1.547652E+05,0.000000E+00,0.000000E+00,4.398580E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.644182E+00,7.501195E+04,1.851164E+05
00:30:00,0.000000E+00,0.000000E+00,2.882392E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.071465E+00,5.859975E+04,1.536848E+05,0.000000E+00,0.000000E+00,3.895944E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.641669E+00,7.375484E+04,1.837843E+05
00:45:00,0.000000E+00,0.000000E+00,2.412898E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.068692E+00,5.759423E+04,1.526050E+05,0.000000E+00,0.000000E+00,3.411911E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.639131E+00,7.249831E+04,1.824523E+05
01:00:00,0.000000E+00,0.000000E+00,1.943403E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.065921E+00,5.658963E+04,1.515262E+05,0.000000E+00,0.000000E+00,2.921529E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.636565E+00,7.124234E+04,1.811206E+05
01:15:00,0.000000E+00,0.000000E+00,1.943357E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.063178E+00,5.591213E+04,1.507852E+05,0.000000E+00,0.000000E+00,2.904361E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.634015E+00,7.039774E+04,1.802134E+05
01:30:00,0.000000E+00,0.000000E+00,1.943316E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.060481E+00,5.523563E+04,1.500460E+05,0.000000E+00,0.000000E+00,2.914812E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.631495E+00,6.955396E+04,1.793075E+05
01:45:00,0.000000E+00,0.000000E+00,1.943278E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.057849E+00,5.456030E+04,1.493089E+05,0.000000E+00,0.000000E+00,2.906136E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.629018E+00,6.871111E+04,1.784031E+05
02:00:00,0.000000E+00,0.000000E+00,1.943239E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.055322E+00,5.388648E+04,1.485750E+05,0.000000E+00,0.000000E+00,2.903419E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.626601E+00,6.786934E+04,1.775008E+05
02:15:00,0.000000E+00,0.000000E+00,1.943199E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.052890E+00,5.337673E+04,1.480119E+05,0.000000E+00,0.000000E+00,2.901422E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.624247E+00,6.723357E+04,1.768118E+05
02:30:00,0.000000E+00,0.000000E+00,1.943157E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.050516E+00,5.286789E+04,1.474506E+05,0.000000E+00,0.000000E+00,2.899906E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.621845E+00,6.659776E+04,1.761222E+05
