Time,WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
00:15:00,0.000000E+00,0.000000E+00,3.351885E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.074225E+00,5.960604E+04,1.547652E+05,0.000000E+00,0.000000E+00,4.875181E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.054710E+01,4.960160E+05,1.224081E+06
00:30:00,0.000000E+00,0.000000E+00,2.882392E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.071465E+00,5.859975E+04,1.536848E+05,0.000000E+00,0.000000E+00,4.866599E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.054459E+01,4.878395E+05,1.215611E+06
00:45:00,0.000000E+00,0.000000E+00,2.412898E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.068692E+00,5.759423E+04,1.526050E+05,0.000000E+00,0.000000E+00,4.859877E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.054205E+01,4.796636E+05,1.207142E+06
01:00:00,0.000000E+00,0.000000E+00,1.943403E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.065921E+00,5.658963E+04,1.515262E+05,0.000000E+00,0.000000E+00,4.852520E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.053948E+01,4.714883E+05,1.198673E+06
01:15:00,0.000000E+00,0.000000E+00,1.943357E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.063178E+00,5.591213E+04,1.507852E+05,0.000000E+00,0.000000E+00,4.850803E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.053693E+01,4.660307E+05,1.193007E+06
01:30:00,0.000000E+00,0.000000E+00,1.943316E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.060481E+00,5.523563E+04,1.500460E+05,0.000000E+00,0.000000E+00,4.851848E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.053441E+01,4.605741E+05,1.187343E+06
01:45:00,0.000000E+00,0.000000E+00,1.943278E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.057849E+00,5.456030E+04,1.493089E+05,0.000000E+00,0.000000E+00,4.850981E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.053194E+01,4.551183E+05,1.181680E+06
02:00:00,0.000000E+00,0.000000E+00,1.943239E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.055322E+00,5.388648E+04,1.485750E+05,0.000000E+00,0.000000E+00,4.850709E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.052952E+01,4.496636E+05,1.176019E+06
02:15:00,0.000000E+00,0.000000E+00,1.943199E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.052890E+00,5.337673E+04,1.480119E+05,0.000000E+00,0.000000E+00,4.850509E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.052717E+01,4.455681E+05,1.171762E+06
02:30:00,0.000000E+00,0.000000E+00,1.943157E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.050516E+00,5.286789E+04,1.474506E+05,0.000000E+00,0.000000E+00,4.850358E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.052476E+01,4.414726E+05,1.167504E+06
02:45:00,0.000000E+00,0.000000E+00,1.943113E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.048182E+00,5.235976E+04,1.468905E+05,0.000000E+00,0.000000E+00,4.850242E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.052231E+01,4.373771E+05,1.163244E+06
03:00:00,0.000000E+00,0.000000E+00,1.943066E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.045846E+00,5.185201E+04,1.463309E+05,0.000000E+00,0.000000E+00,4.850151E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051979E+01,4.332813E+05,1.158984E+06
03:15:00,0.000000E+00,0.000000E+00,1.943015E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.043500E+00,5.134454E+04,1.457715E+05,0.000000E+00,0.000000E+00,4.850079E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051717E+01,4.291852E+05,1.154722E+06
03:30:00,0.000000E+00,0.000000E+00,1.942961E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.041167E+00,5.083756E+04,1.452127E+05,0.000000E+00,0.000000E+00,4.850019E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051455E+01,4.250895E+05,1.150460E+06
03:45:00,0.000000E+00,0.000000E+00,1.942903E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.038856E+00,5.033114E+04,1.446548E+05,0.000000E+00,0.000000E+00,4.849969E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051193E+01,4.209941E+05,1.146198E+06
04:00:00,0.000000E+00,0.000000E+00,1.942840E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.036582E+00,4.982539E+04,1.440982E+05,0.000000E+00,0.000000E+00,4.849925E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050931E+01,4.168992E+05,1.141938E+06
04:15:00,0.000000E+00,0.000000E+00,1.942774E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.034326E+00,4.948237E+04,1.437098E+05,0.000000E+00,0.000000E+00,4.849886E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050670E+01,4.141625E+05,1.139078E+06
04:30:00,0.000000E+00,0.000000E+00,1.942706E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.032033E+00,4.913929E+04,1.433207E+05,0.000000E+00,0.000000E+00,4.849853E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050413E+01,4.114262E+05,1.136220E+06
04:45:00,0.000000E+00,0.000000E+00,1.942635E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.029694E+00,4.879608E+04,1.429307E+05,0.000000E+00,0.000000E+00,4.849823E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050158E+01,4.086906E+05,1.133361E+06
05:00:00,0.000000E+00,0.000000E+00,1.942563E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.027292E+00,4.845261E+04,1.425395E+05,0.000000E+00,0.000000E+00,4.849797E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049908E+01,4.059555E+05,1.130505E+06
05:15:00,0.000000E+00,0.000000E+00,1.942489E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.024972E+00,4.875786E+04,1.428187E+05,0.000000E+00,0.000000E+00,4.849773E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049678E+01,4.086517E+05,1.133253E+06
05:30:00,0.000000E+00,0.000000E+00,1.942415E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.023244E+00,4.906768E+04,1.431118E+05,0.000000E+00,0.000000E+00,4.849751E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049526E+01,4.113540E+05,1.136020E+06
05:45:00,0.000000E+00,0.000000E+00,1.942340E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.022483E+00,4.938525E+04,1.434277E+05,0.000000E+00,0.000000E+00,4.849732E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049508E+01,4.140671E+05,1.138816E+06
06:00:00,0.000000E+00,0.000000E+00,1.942265E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.022589E+00,4.970990E+04,1.437642E+05,0.000000E+00,0.000000E+00,4.849714E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049643E+01,4.167929E+05,1.141646E+06
06:15:00,0.000000E+00,0.000000E+00,2.333396E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.024035E+00,5.085532E+04,1.449679E+05,0.000000E+00,0.000000E+00,4.851063E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.049913E+01,4.263171E+05,1.151509E+06
06:30:00,0.000000E+00,0.000000E+00,2.724525E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.026601E+00,5.201094E+04,1.461993E+05,0.000000E+00,0.000000E+00,4.856293E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050258E+01,4.358487E+05,1.161389E+06
06:45:00,0.000000E+00,0.000000E+00,3.115654E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.030083E+00,5.317561E+04,1.474542E+05,0.000000E+00,0.000000E+00,4.859935E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.050677E+01,4.453883E+05,1.171289E+06
07:00:00,0.000000E+00,0.000000E+00,3.506783E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.034707E+00,5.435188E+04,1.487385E+05,0.000000E+00,0.000000E+00,4.864123E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051164E+01,4.549355E+05,1.181205E+06
07:15:00,0.000000E+00,0.000000E+00,3.506708E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.040040E+00,5.715996E+04,1.517170E+05,0.000000E+00,0.000000E+00,4.867036E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.051748E+01,4.780726E+05,1.205154E+06
07:30:00,0.000000E+00,0.000000E+00,3.506636E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.046073E+00,5.997986E+04,1.547185E+05,0.000000E+00,0.000000E+00,4.866131E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.052445E+01,5.012262E+05,1.229136E+06
07:45:00,0.000000E+00,0.000000E+00,3.506569E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.052947E+00,6.281401E+04,1.577476E+05,0.000000E+00,0.000000E+00,4.866862E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.053210E+01,5.243931E+05,1.253141E+06
08:00:00,0.000000E+00,0.000000E+00,3.506505E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.060644E+00,6.566336E+04,1.608050E+05,0.000000E+00,0.000000E+00,4.867083E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.054046E+01,5.475748E+05,1.277172E+06
08:15:00,0.000000E+00,0.000000E+00,3.897652E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.069099E+00,6.885456E+04,1.642267E+05,0.000000E+00,0.000000E+00,4.885563E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.054972E+01,5.734919E+05,1.304038E+06
08:30:00,0.000000E+00,0.000000E+00,4.288803E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.078141E+00,7.206137E+04,1.676736E+05,0.000000E+00,0.000000E+00,4.906105E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.055986E+01,5.994288E+05,1.330936E+06
08:45:00,0.000000E+00,0.000000E+00,4.679959E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.087483E+00,7.528113E+04,1.711384E+05,0.000000E+00,0.000000E+00,4.925760E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.057089E+01,6.253871E+05,1.357869E+06
